行政區,10000以下,10000~20000,20000~30000,30000~40000,40000以上
大安區,210,227,161,112,705
北投區,110,96,76,72,200
大同區,98,91,77,28,77
中正區,131,103,69,57,169
中山區,198,394,321,235,628
內湖區,179,124,111,122,327
萬華區,103,282,94,46,49
信義區,204,153,162,73,407
松山區,95,118,102,88,122
文山區,198,94,77,26,61
南港區,103,51,37,57,142
士林區,195,115,92,85,403
