title,layout,URL,address,section_name,region_name,lng,lat,price,area
政大一街庭園清幽住宅，政大學區歡迎寵物入住,3房2廳2衛,https://rent.591.com.tw/rent-detail-4710438.html,台北市文山區政大一街171號,文山,台北市,121.5840389,24.9856654,38500,39.2
天母西路41巷天母國小美寓,3房2廳2衛,https://rent.591.com.tw/rent-detail-4677941.html,台北市士林區天母西路41巷,士林,台北市,121.5273928,25.1190482,28000,34.9
汀州路古亭捷運步行可達冷氣雅房,,https://rent.591.com.tw/rent-detail-4735810.html,台北市中正區汀州路,中正,台北市,,,6400,3
"士東路天母優質樓中樓,屋主自租",2房1廳1衛,https://rent.591.com.tw/rent-detail-4733002.html,台北市士林區士東路,士林,台北市,121.5335525,25.1127719,19000,18
"石牌路二段近榮總,振興醫院,北護,捷運一樓獨立套房",,https://rent.591.com.tw/rent-detail-4555841.html,台北市北投區石牌路二段332號,北投,台北市,121.5243400,25.1223120,10000,6
泉州街~中正最好!建中學區室內車位2800元~,類型：平面式,https://rent.591.com.tw/rent-detail-4687829.html,台北市中正區泉州街4號,中正,台北市,121.5141900,25.0293220,2800,5
成福路194巷制霸101極景信義會館住商納美店,2房1廳1衛,https://rent.591.com.tw/rent-detail-4746542.html,台北市南港區成福路194巷,南港,台北市,121.5878482,25.0408487,27999,13
大理街159巷龍山捷運站旁.全新裝潢.設備.超優環境,,https://rent.591.com.tw/rent-detail-4726421.html,台北市萬華區大理街159巷,萬華,台北市,121.4958879,25.0346714,15000,9
八德路三段12巷全新南京復興交通生活機能完善限量家具,,https://rent.591.com.tw/rent-detail-4741398.html,台北市松山區八德路三段12巷5弄22號,松山,台北市,121.5512386,25.0474938,23000,13
大東路士林夜市近士林劍潭捷運高生活機能套房,,https://rent.591.com.tw/rent-detail-4712312.html,台北市士林區大東路,士林,台北市,121.5255254,25.0900200,15000,10
新生北路三段可以月租/短租+捷運中山國小1分鐘+電梯,,https://rent.591.com.tw/rent-detail-4684800.html,台北市中山區新生北路三段,中山,台北市,121.5279958,25.0669084,13900,9.5
金山南路二段141巷麗水街永康生活圈整潔套房,,https://rent.591.com.tw/rent-detail-4753904.html,台北市大安區金山南路二段141巷36號,大安,台北市,121.5282380,25.0292920,11000,5
仁愛路三段123巷36A-A可租半年仁愛復興南忠孝SOGO,2房1廳1衛,https://rent.591.com.tw/rent-detail-4698810.html,台北市大安區仁愛路三段123巷,大安,台北市,121.5420014,25.0394585,27036,21
萬全街雙連捷運全新優質綠意景觀豪宅,3房2廳2衛,https://rent.591.com.tw/rent-detail-4602995.html,台北市大同區萬全街,大同,台北市,121.5181058,25.0584265,99500,40.9
